ranking,username,account_id
1,Mov,cm8or7j7c0000mdgtpm9hsh50
2,clukzSOL,cmdnsgsz30010nfrh35fm0j3a
3,oscarexitliq,cmdnsm459005xnf9xvk0yifbq
4,radiancebrr,cmdnsio1d0006nfz3r244q883
5,Pastel,cm8mdhlja0000vftva1g894e4
6,,cmai861q10000l404tofzef3k
7,kadenox,cmdnsgrkp0000nfrhlshuq4oz
8,ihateoop,cmdnsgtb2001rnfrhopmgoj7d
9,exitliquid1ty,cmdnsm3rt005unf9x2oihdx78
10,hesikillaz,cmdnsh1oe007unfrhtswyufe8
11,ohzarke,cmdnsgtzw0029nfrhs9u4kyxx
12,Limfork,cmdnsioex000onfz3cgi9jzgj
13,,cm824g4us00002x9kgewcdcju
14,Nosa1x,cmdnsgu50002cnfrhf4z8f7pi
15,retardily,cmdnsh1bn007cnfrhe8h42gi5
16,xandereef,cmdnsm6ly006lnf9xjfa0pwwu
17,nyhrox,cmdnslstg000lnf9x96imc20p
18,Burix,cmctl1ykg0000jl04exi8xt8i
19,YOUNIZ_XLZ,cmdnsgum8002rnfrhhx8xnr6z
20,Giann2K,cmdnsgt4j001cnfrhu34n9yqk
85,boltxbt,cmb7p0je10000l704hyzohxuo
86,artbynafay,cmbrse1j40000l804mirlolcg
100,,cmdd99hm40000ju04yhrs2m6a
111,Mike,cm9bmshsy0000i904rx95ageo
130,Bazzo,cmcftvb3t0000ju04r63dmuqh
135,Bart,cmc7wcfkn0000lc04e3nuybls
170,Honey,cma4twrqs0000lb048gmx8wyg
200,,cmbrhzrjf0000kz04wl0gjln8
272,Aqsa,cmbw48bx70000l604pmbr9d4d
348,BitBoyJay,cm7y43ndz000195amo8x7ru2y
500,mehdiaghilieth,clocgppl00001me0fwq41ix4m
619,tom,cma3eck170000jr04hj11mkrt
692,non holder,cm85cwmav000bcr8fj66rn5ev
756,Bart,cmc7wcfkn0000lc04e3nuybls
883,TheMak,cma2sbbc80003le04be18z9ye
930,,cmecphfzs0000kv04h090twys
